ID,Name,Email,Phone,City,Salary
1,Amit,amit@gmail.com,9876543210,Mumbai,45000
2,Riya,riya@gmail.com,9123456789,Pune,52000
3,John,john@test.com,9999999999,Bangalore,60000
4,Neha,neha@gmail.com,8888888888,Delhi,48000
5,Rahul,rahul@yahoo.com,7777777777,Chennai,55000
6,Anita,anita@gmail.com,6666666666,Hyderabad,50000
7,Suresh,suresh@gmail.com,9555555555,Kolkata,47000
8,Pooja,pooja@gmail.com,9444444444,Jaipur,51000
9,Arjun,arjun@gmail.com,9333333333,Ahmedabad,49000
10,Kavita,kavita@gmail.com,9222222222,Indore,53000
